"FullName","Length","LastWriteTime"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\am_MASCULINE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\am_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\am.pak","886152","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\ar_FEMININE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\ar_MASCULINE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\ar_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\ar.pak","986595","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\bg_FEMININE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\bg_MASCULINE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\bg_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\bg.pak","1018139","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\bn_FEMININE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\bn_MASCULINE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\bn_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\bn.pak","1297180","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\ca_FEMININE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\ca_MASCULINE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\ca_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\ca.pak","626198","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\cs_FEMININE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\cs_MASCULINE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\cs_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\cs.pak","642463","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\da_FEMININE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\da_MASCULINE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\da_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\da.pak","579820","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\de_FEMININE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\de_MASCULINE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\de_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\de.pak","629329","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\el_FEMININE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\el_MASCULINE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\el_NEUTER.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\el.pak","1118488","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\en-GB_FEMININE.pak","18","7-9-2026 10:27:13"
"C:\Users\jori\AppData\Local\BrowserAI\browsers\chromium-1243\chrome-win64\locales\en-GB_MASCULINE.pak","18","7-9-2026 10:27:13"
